Table 1: n>6, FLOPS<600 (n  L  H  FLOPS)
 12  31    2    292
 12  32    2    300
 12  33    2    308
 12  34    2    316
 12  35    2    324
 12  36    2    332
 12  37    2    340
 12  38    2    348
 12  39    2    356
 12  40    2    364
 12  41    2    372
 12  42    2    380
 12  43    2    388
 12  44    2    396
 12  45    2    404
 12  46    2    412
 12  47    2    420
 12  48    2    428
 12  49    2    436
 12  50    2    444
 12  51    2    452
 12  52    2    460
 12  53    2    468
 12  54    2    476
 12  55    2    484
 12  56    2    492
 12  57    2    500
 12  58    2    508
 12  59    2    516
 12  60    2    524
 12  61    2    532
 12  62    2    540
 12  63    2    548
 12  64    2    556
 12  65    2    564
 12  66    2    572
 12  67    2    580
 12  68    2    588
 12  69    2    596
 13   1    2     56
 13   1    3     84
 13   1    4    112
 13   1    5    140
 13   1    6    168
 13   1    7    196
 13   1    8    224
 13   1    9    252
 13   1   10    280
 13   1   11    308
 13   1   12    336
 13   1   13    364
 13   1   14    392
 13   1   15    420
 13   1   16    448
 13   1   17    476
 13   1   18    504
 13   1   19    532
 13   1   20    560
 13   1   21    588
 13   2    2     64
 13   2    3    102
 13   2    4    144
 13   2    5    190
 13   2    6    240
 13   2    7    294
 13   2    8    352
 13   2    9    414
 13   2   10    480
 13   2   11    550
 13   3    2     72
 13   3    3    120
 13   3    4    176
 13   3    5    240
 13   3    6    312
 13   3    7    392
 13   3    8    480
 13   3    9    576
 13   4    2     80
 13   4    3    138
 13   4    4    208
 13   4    5    290
 13   4    6    384
 13   4    7    490
 13   5    2     88
 13   5    3    156
 13   5    4    240
 13   5    5    340
 13   5    6    456
 13   5    7    588
 13   6    2     96
 13   6    3    174
 13   6    4    272
 13   6    5    390
 13   6    6    528
 13   7    2    104
 13   7    3    192
 13   7    4    304
 13   7    5    440
 13   8    2    112
 13   8    3    210
 13   8    4    336
 13   8    5    490
 13   9    2    120
 13   9    3    228
 13   9    4    368
 13   9    5    540
 13  10    2    128
 13  10    3    246
 13  10    4    400
 13  10    5    590
 13  11    2    136
 13  11    3    264
 13  11    4    432
 13  12    2    144
 13  12    3    282
 13  12    4    464
 13  13    2    152
 13  13    3    300
 13  13    4    496
 13  14    2    160
 13  14    3    318
 13  14    4    528
 13  15    2    168
 13  15    3    336
 13  15    4    560
 13  16    2    176
 13  16    3    354
 13  16    4    592
 13  17    2    184
 13  17    3    372
 13  18    2    192
 13  18    3    390
 13  19    2    200
 13  19    3    408
 13  20    2    208
 13  20    3    426
 13  21    2    216
 13  21    3    444
 13  22    2    224
 13  22    3    462
 13  23    2    232
 13  23    3    480
 13  24    2    240
 13  24    3    498
 13  25    2    248
 13  25    3    516
 13  26    2    256
 13  26    3    534
 13  27    2    264
 13  27    3    552
 13  28    2    272
 13  28    3    570
 13  29    2    280
 13  29    3    588
 13  30    2    288
 13  31    2    296
 13  32    2    304
 13  33    2    312
 13  34    2    320
 13  35    2    328
 13  36    2    336
 13  37    2    344
 13  38    2    352
 13  39    2    360
 13  40    2    368
 13  41    2    376
 13  42    2    384
 13  43    2    392
 13  44    2    400
 13  45    2    408
 13  46    2    416
 13  47    2    424
 13  48    2    432
 13  49    2    440
 13  50    2    448
 13  51    2    456
 13  52    2    464
 13  53    2    472
 13  54    2    480
 13  55    2    488
 13  56    2    496
 13  57    2    504
 13  58    2    512
 13  59    2    520
 13  60    2    528
 13  61    2    536
 13  62    2    544
 13  63    2    552
 13  64    2    560
 13  65    2    568
 13  66    2    576
 13  67    2    584
 13  68    2    592
 14   1    2     60
 14   1    3     90
 14   1    4    120
 14   1    5    150
 14   1    6    180
 14   1    7    210
 14   1    8    240
 14   1    9    270
 14   1   10    300
 14   1   11    330
 14   1   12    360
 14   1   13    390
 14   1   14    420
 14   1   15    450
 14   1   16    480
 14   1   17    510
 14   1   18    540
 14   1   19    570
 14   2    2     68
 14   2    3    108
 14   2    4    152
 14   2    5    200
 14   2    6    252
 14   2    7    308
 14   2    8    368
 14   2    9    432
 14   2   10    500
 14   2   11    572
 14   3    2     76
 14   3    3    126
 14   3    4    184
 14   3    5    250
 14   3    6    324
 14   3    7    406
 14   3    8    496
 14   3    9    594
 14   4    2     84
 14   4    3    144
 14   4    4    216
 14   4    5    300
 14   4    6    396
 14   4    7    504
 14   5    2     92
 14   5    3    162
 14   5    4    248
 14   5    5    350
 14   5    6    468
 14   6    2    100
 14   6    3    180
 14   6    4    280
 14   6    5    400
 14   6    6    540
 14   7    2    108
 14   7    3    198
 14   7    4    312
 14   7    5    450
 14   8    2    116
 14   8    3    216
 14   8    4    344
 14   8    5    500
 14   9    2    124
 14   9    3    234
 14   9    4    376
 14   9    5    550
 14  10    2    132
 14  10    3    252
 14  10    4    408
 14  11    2    140
 14  11    3    270
 14  11    4    440
 14  12    2    148
 14  12    3    288
 14  12    4    472
 14  13    2    156
 14  13    3    306
 14  13    4    504
 14  14    2    164
 14  14    3    324
 14  14    4    536
 14  15    2    172
 14  15    3    342
 14  15    4    568
 14  16    2    180
 14  16    3    360
 14  17    2    188
 14  17    3    378
 14  18    2    196
 14  18    3    396
 14  19    2    204
 14  19    3    414
 14  20    2    212
 14  20    3    432
 14  21    2    220
 14  21    3    450
 14  22    2    228
 14  22    3    468
 14  23    2    236
 14  23    3    486
 14  24    2    244
 14  24    3    504
 14  25    2    252
 14  25    3    522
 14  26    2    260
 14  26    3    540
 14  27    2    268
 14  27    3    558
 14  28    2    276
 14  28    3    576
 14  29    2    284
 14  29    3    594
 14  30    2    292
 14  31    2    300
 14  32    2    308
 14  33    2    316
 14  34    2    324
 14  35    2    332
 14  36    2    340
 14  37    2    348
 14  38    2    356
 14  39    2    364
 14  40    2    372
 14  41    2    380
 14  42    2    388
 14  43    2    396
 14  44    2    404
 14  45    2    412
 14  46    2    420
 14  47    2    428
 14  48    2    436
 14  49    2    444
 14  50    2    452
 14  51    2    460
 14  52    2    468
 14  53    2    476
 14  54    2    484
 14  55    2    492
 14  56    2    500
 14  57    2    508
 14  58    2    516
 14  59    2    524
 14  60    2    532
 14  61    2    540
 14  62    2    548
 14  63    2    556
 14  64    2    564
 14  65    2    572
 14  66    2    580
 14  67    2    588
 14  68    2    596
 15   1    2     64
 15   1    3     96
 15   1    4    128
 15   1    5    160
 15   1    6    192
 15   1    7    224
 15   1    8    256
 15   1    9    288
 15   1   10    320
 15   1   11    352
 15   1   12    384
 15   1   13    416
 15   1   14    448
 15   1   15    480
 15   1   16    512
 15   1   17    544
 15   1   18    576
 15   2    2     72
 15   2    3    114
 15   2    4    160
 15   2    5    210
 15   2    6    264
 15   2    7    322
 15   2    8    384
 15   2    9    450
 15   2   10    520
 15   2   11    594
 15   3    2     80
 15   3    3    132
 15   3    4    192
 15   3    5    260
 15   3    6    336
 15   3    7    420
 15   3    8    512
 15   4    2     88
 15   4    3    150
 15   4    4    224
 15   4    5    310
 15   4    6    408
 15   4    7    518
 15   5    2     96
 15   5    3    168
 15   5    4    256
 15   5    5    360
 15   5    6    480
 15   6    2    104
 15   6    3    186
 15   6    4    288
 15   6    5    410
 15   6    6    552
 15   7    2    112
 15   7    3    204
 15   7    4    320
 15   7    5    460
 15   8    2    120
 15   8    3    222
 15   8    4    352
 15   8    5    510
 15   9    2    128
 15   9    3    240
 15   9    4    384
 15   9    5    560
 15  10    2    136
 15  10    3    258
 15  10    4    416
 15  11    2    144
 15  11    3    276
 15  11    4    448
 15  12    2    152
 15  12    3    294
 15  12    4    480
 15  13    2    160
 15  13    3    312
 15  13    4    512
 15  14    2    168
 15  14    3    330
 15  14    4    544
 15  15    2    176
 15  15    3    348
 15  15    4    576
 15  16    2    184
 15  16    3    366
 15  17    2    192
 15  17    3    384
 15  18    2    200
 15  18    3    402
 15  19    2    208
 15  19    3    420
 15  20    2    216
 15  20    3    438
 15  21    2    224
 15  21    3    456
 15  22    2    232
 15  22    3    474
 15  23    2    240
 15  23    3    492
 15  24    2    248
 15  24    3    510
 15  25    2    256
 15  25    3    528
 15  26    2    264
 15  26    3    546
 15  27    2    272
 15  27    3    564
 15  28    2    280
 15  28    3    582
 15  29    2    288
 15  30    2    296
 15  31    2    304
 15  32    2    312
 15  33    2    320
 15  34    2    328
 15  35    2    336
 15  36    2    344
 15  37    2    352
 15  38    2    360
 15  39    2    368
 15  40    2    376
 15  41    2    384
 15  42    2    392
 15  43    2    400
 15  44    2    408
 15  45    2    416
 15  46    2    424
 15  47    2    432
 15  48    2    440
 15  49    2    448
 15  50    2    456
 15  51    2    464
 15  52    2    472
 15  53    2    480
 15  54    2    488
 15  55    2    496
 15  56    2    504
 15  57    2    512
 15  58    2    520
 15  59    2    528
 15  60    2    536
 15  61    2    544
 15  62    2    552
 15  63    2    560
 15  64    2    568
 15  65    2    576
 15  66    2    584
 15  67    2    592
 16   1    2     68
 16   1    3    102
 16   1    4    136
 16   1    5    170
 16   1    6    204
 16   1    7    238
 16   1    8    272
 16   1    9    306
 16   1   10    340
 16   1   11    374
 16   1   12    408
 16   1   13    442
 16   1   14    476
 16   1   15    510
 16   1   16    544
 16   1   17    578
 16   2    2     76
 16   2    3    120
 16   2    4    168
 16   2    5    220
 16   2    6    276
 16   2    7    336
 16   2    8    400
 16   2    9    468
 16   2   10    540
 16   3    2     84
 16   3    3    138
 16   3    4    200
 16   3    5    270
 16   3    6    348
 16   3    7    434
 16   3    8    528
 16   4    2     92
 16   4    3    156
 16   4    4    232
 16   4    5    320
 16   4    6    420
 16   4    7    532
 16   5    2    100
 16   5    3    174
 16   5    4    264
 16   5    5    370
 16   5    6    492
 16   6    2    108
 16   6    3    192
 16   6    4    296
 16   6    5    420
 16   6    6    564
 16   7    2    116
 16   7    3    210
 16   7    4    328
 16   7    5    470
 16   8    2    124
 16   8    3    228
 16   8    4    360
 16   8    5    520
 16   9    2    132
 16   9    3    246
 16   9    4    392
 16   9    5    570
 16  10    2    140
 16  10    3    264
 16  10    4    424
 16  11    2    148
 16  11    3    282
 16  11    4    456
 16  12    2    156
 16  12    3    300
 16  12    4    488
 16  13    2    164
 16  13    3    318
 16  13    4    520
